Spec_ID,Код продукту,Назва з номенклатури/специфікації,Категорія,Назва в журналі (остання),К-сть партій у журналі,Перша дата в журналі,Остання дата в журналі,Останній № партії,Органолептика норма/критерій,Колір,Запах,pH мін,pH макс,Останній pH факт,Остання в'язкість факт,Од. вим. в'язкості,"Остання густина факт, г/мл",Колоїдна стабільність,Термостабільність,Мікробіологія норма,Мікробіологія факт,Умови зберігання,Термін придатності,Статус специфікації,Джерело,Примітка,pH специфікація (норма),Густина специфікація,В'язкість специфікація,PAO (після відкриття)
SPEC-RP001-v1.0,RP001,Шампунь Anti-Dundruff,Волосся,"Шампунь Anti-Dundruff, RP001",2,2024-08-08,2024-09-24,09/24,відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,5.8,Н/З,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,потребує верифікації технологом,Номенклатура + журнал партій (2 партій),Норми з журналу потрібно затвердити технологом.,"5,0-6,0","0,95-1,05 г/мл",S4V60Cp=3000-6000 mPas,12М
SPEC-RP002-v1.0,RP002,безсульфатний шампунь з гідролізатом шовку та аргановою олією,Волосся,шампуньбезсульфатний з гідролізатом шовку тааргановою олією RP002,7,2024-08-23,2026-02-11,11/02/26(1),відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,6.8,"S3V12Cp=7667mPas76,6%",,"0,93",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (7 партій),Норми з журналу потрібно затвердити технологом.,"5,0-6,0","0,9-1,0 г/мл",S3V12 Cp=5000-8000 mPas,12М
SPEC-RP003-v1.0,RP003,безсульфатний шампунь з кератином та провітаміном В5,Волосся,"безсульфатний шампунь з кератином та провітаміном В5, RP003",3,2024-09-11,2025-01-10,01/25,відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,5.3,Н/З,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,"5,0-6,0","0,9-1,0 г/мл",S3V12Cp=3000-6000mPas,12М
SPEC-RP004-v1.0,RP004,безсульфатний шампунь проти випадіння волосся з ніцинамідом та пребіотиком,Волосся,"безсульфатний шампунь проти випадіння волосся з ніцинамідом та пребіотиком, RP004",8,2024-09-09,2025-12-09,09/12/25(3),відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,5.6,"Cp=7444mpas, 74,4% S3V12",,"0,86",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (8 партій),Норми з журналу потрібно затвердити технологом.,"5,0-7,0","0,85-0,95 г/мл",S3V12 Cp=4500-9000 mpas,12М
SPEC-RP006-v1.0,RP006,Кондиціонер для волосся Argan Oil + Keratin,Волосся,"Кондиціонер для волосся Argan Oil + Keratin, RP006",3,2024-11-15,2025-07-15,07/25,відповідає,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.5,"Cp=28.93 pas, 36.1% S3V1,5",,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,"4,5-5,5","0,8-0,95г/мл",S4V60 Cp=100-300 mPas,12М
SPEC-RP007-v1.0,RP007,Маска для волосся Argan Oil + Keratin,Волосся,"маска для волосся Argana oil, keratin RP007",3,2025-02-21,2026-01-23,23/01/26(1),відповідає,білий або світло-бежевий,згідно затвердженого зразку,"3,5",6,5.1,"S4V6Cp=60,05mPas60%",,"0,79",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,"4,5-5,5","0,79-0,89 г/мл",S4V6 Cp=20-70 mPas,12М
SPEC-RP008-v1.0,RP008,Шампунь Jojoba+Peptide Complex,Волосся,шампунь Жожоба пептиди RP008,3,2024-10-10,2026-03-13,13/03/26(4),відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,6.1,"S3V12Cp=5814mPas58,1%",,"0,98",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,"5,5-6,5","0,9-1,0 г/мл",S3V12 Cp=3500-7000 mPas,12М
SPEC-RP009-v1.0,RP009,Кондиціонер для волосся Jojoba+Peptide Complex,Волосся,"Кондиціонер для волосся Jojoba+Peptide Complex, RP009",11,2024-08-22,2026-03-16,16/03/26(1),відповідає,білий або світло-бежевий,згідно затвердженого зразку,5,6,4.6,"S4V30Cp=7652mPas38,2% S4V30Cp=7589mPas38,8%",,"0,77",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (11 партій),Норми з журналу потрібно затвердити технологом.,"4,5–6","0,7-0,8 г/мл",S4V30 Cp=7000-10000mPas,12М
SPEC-RP010-v1.0,RP010,Маска для волосся Jojoba+Peptide Complex,Волосся,"Маска для волосся Jojoba+Peptide Complex, RP010",3,2024-12-02,2025-11-06,06/11/2025(1),відповідає,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.1,"Cp=79,50pas, 39,7% S4V3",,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0,79-0,89 г/мл","Cp=40-90 pas, S4V3",12М
SPEC-RP011-v1.0,RP011,Шампунь Macadamia+Omega Complex,Волосся,"Шампунь Macadamia+Omega Complex, RP011",2,2025-02-24,2025-08-14,08/25,відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,5,6,5.7,"Cp=5290mpas, 52,8% S3V12",,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,потребує верифікації технологом,Номенклатура + журнал партій (2 партій),Норми з журналу потрібно затвердити технологом.,"5,0-6,5","0,9-1,0 г/мл","Cp=3000-7000 mpas, S3V12",12М
